packr66,Big Kev
JEHutton,James Hutton
momofmonday,gab.ai/Momofmonday
HabuTroy7777777,Troy
cindyloufun,cindyk
steadman_fl,CrownJul
neonSponge,Chief Neon Sponge
politstrip,n/a
radrep,Centinel
SRKENNEDY64,PATRICK J KENNEDY SR
HCOVSO,HuronCoVetServices
NavyWords,Navy Words
tmj_mia_vets,Mia Veteran Jobs
TonyaS30305,Tonya Satterwhite MAGA
CMitchel14,C Mitchell
APTT45Babe,n/a
wethepeople46,wethepeople46
bmal1623,MERMER
veritaz,God•Country•Israel
KLelevier,k
scollins4945,Steven Collins
darrylb3812,Nope
tmj_phl_vets,Phl Veteran Jobs
LVNancy,n/a
clutch14,Clutch
Huck_Fillary_,Huck Fillary
jasoncisneroz,Jason Cisneroz
NickASAVet,Nick Plessas
tmj_in_vets,IN Veteran Jobs
HandicapLaMont,Handicap LaMont
WantBigHammer,WantBiggerHammer
SheriMamaGG3,Sheri*DontBlameMeIWroteInGeorgeCarlin92&96*MamaGG3
tmj_wde_vets,Wilmington Veterans
nomarxism21,nomarxism2
2Corinthians4_6,Michael J Adams
lfbill,Bill Grant
TimHall5569,Tim Hall
bernardburney,Bernard Burney
Grey_Avenger,rxglenn
ThatsMsSandy2U,Sandy Hamilton
FreedomFlagship,n/a
m_lonz,Mark Lonzo
jsdr57,call me...JIM
AliceCAKANicki2,Alice C AKA Nicki Mc
FITN1854,First In The Nation
WilliamNSmith3,William N Smith
1SemperFi_Girl,Bridgette Hawkins
Pao1aChavez,Difficult_Truthful
billdodgeusa,Bill
tmj_la_vets,LA Veteran Jobs
Pvt_Lesson,Clutch Cargo
BethMSH_,n/a
HVeteran03,HerbaVeteran03
Debbietazz,Deplorable Debbie
klasinz,TruthHunter
amx1,Randal Stone
venturer1200,Derek J. Johnson
Danny4denise,n/a
Sheila4USA,n/a
tmj_AR_vets,AR Veteran Jobs
tmj_mo_vets,MO Veteran Jobs
imx007,IMX
Barnett20Todd,Todd Barnett20
gringaloca11,victoria jenkins
wallstr0ckstar,LionHeart
TheDanielMarch,Daniel March
MichDeplorable,n/a
rigsby_michelle,n/a
ALprogressive1,AL progressive
bubba_rffr,Kevin W
rangermig,Micheal Migliara
floridadaring,sick of government
VeteransUK,VeteransUK
mschreiweis66,Michael Schreiweis
PoeticPastries,Pansylee VanMeteren
WarriorofGod97,n/a
RedPilledinNY,RedPilled
donjone38970700,don jones #veteran
LoriWill213,n/a
Bushie_40,Bushie_40 TTV
ST1200Girl,ST1200Girl
1ChristWarrior,Christ Warrior
sportsfan_james,Jim Carpenter
DaGodfather77,#@Trumpsterfire
KimberlyDehoff,Kimberly DeHoff
MAGAGwen,n/a
RobertD89815787,Robert Davis
RoberRenteria,n/a
jb29pdx,n/a
lionsmds,Mark Susor
Kristi29334608,Kristi
tmj_tx_vets,TX Veteran Jobs
Boyd_2650,Diane Boyd
Annadellia123,Annadellia
DushawnMoses,I love my God
ScottAulde,n/a
JohnMcGeever70,n/a
vjoycejkl,Valerie
TheRealPopeyeO,Robert Olmstead
DMRichardson71,Darrell Richardson
Ohio_Buckeye_US,n/a
dekerain1,Deke Raine
EnergizeVets,Mike Wms
UghToHillary,AmericanMade
2Ckm72,cindy
Prayformetoo,Anne
jquigley2,jquigley2
wonthunt,Old Dawg
tmj_nd_vets,ND Veteran Jobs
LewadowskiLee,David Lewis
AprilDay365,n/a
greenlightgg,n/a
OzzieMAGAossie,n/a
StevePo46183939,Steve Powell
chillinginLV,LV Deplorable
WvTrump,n/a
toruk_san,TheShadowKnows
Shawtypepelina,n/a
Quoimio,n/a
Dawn_Raine,n/a
busylizzie48,n/a
SavvyHuman,GG Smiles
ncar999,NaCaMo
Catfur98,#CatFur4Trump ®
DerekWadeWeller,DerekWeller
afterthedd214,After the DD-214
1BamBamtogo,Bambam
MrsESK,n/a
216Zealot,Oh_216Zealot_iO
GunnyP80,GunnyP
karenlmw,Karen Williams
whetzel_fred,Fred Allen Whetzel Jr
Michaelingram84,KyloRenThaBoss (USMC Ret.)
RightSassy,n/a
JamesS020770,J Starr
tmj_vets,Veteran Jobs
nig_bell,Nigel Bell
lulucabeza,Lulu Cabeza
Neptunes455,n/a
WMSSVF,Wayne Metro SSVF
joepaulrod,Jr
tmj_mt_vets,MT Veteran Jobs
tmj_chi_vets,Chi Veteran Jobs
HH_kathy,n/a
scroarty,Sharon Lee
vazr00,Rebecca Vazquez
MeganSmiles,The Media Lies
dprite1,n/a
Chefette11,n/a
tmj_mi_vets,MI Veteran Jobs
ou812usa,Han Valen
vets2cloud,VETS2CLOUD ™
GiiMarias,gii marias
Pjxport3,PJ Sanchez
Trey_VonDinkis,Trey Von Dinkis
tmj_fl_vets,FL Veteran Jobs
MyInfojoeybray1,Deplorable patriot
knowingispowr,n/a
LynGirlCL,Cheri C
IncaOrchidLove,n/a
wmleemert,Wm. Lee Merritt
bijasi83,Bill Simmons
tmj_ky_vets,KY Veteran Jobs
maggiecas,God has given hope!
FFRNewsNet2,FreedomFighterReport
caterinagrove,GRANDMA 2 ARMYMEDIC
tmj_atl_vets,ATL Veteran Jobs
sld_maga,Jason The Russian
KristiWoodruff3,Kristi Woodruff
GrizzleMeister,GRIZZLE
dawnz01,Dawn Starz
RobieRobotJr,Robbie Robot Jr.
tmj_ms_vets,MS Veteran Jobs
nickelintexas,Jeff Hensley
crl_resist,CRLane
yorkietommo,n/a
Debrina122,Debra Albrecht
curb67,Whiskey Tango Foxtrot
TransitionVet,TransitioningVeteran
tmj_sc_vets,SC Veteran Jobs
JosephMRyan1,Joe Ryan (Army Dad)
OneVoiceUS,n/a
MrBeiss,Paul Beiss
Janethecrusader,JG
RidgeReaper68,Reaper][][][%
GaryLeeMoreland,Gary Lee Moreland
PaulConservativ,Paul theConservative
cindyboyenga,n/a
jwest46568843,Well AighTy Then
DavidClardy6,David Clardy
NLTCNY,Daisy's can opener
demsnomore,Johnny United
TonyaLeeOrtega1,Tonya Lee Ortega
POLITICSandFUN,n/a
TrmpPnceMkeSens,'Trump45'JPSavvy
EjHirschberger,Erin'sTrump®
clcbeing,ChristyC
JiffyJaffe,n/a
TimScranton2,n/a
mtenorio77,Michael Tenorio
mimiinftworth,Bloodhound
truthdetector45,In Trump We Trust
hankarnold54,Hank Arnold
Nottherealme1,B
HarleyandGuns,n/a
legionbirdman,Robert White
OftedalEric,Eric Oftedal
rremmy72,Richard Remmy
rodin1776,Rodin1776
artimusmaximus,Artimus Maximus
M_CAT187,Martin
Chacowaco1,n/a
HarrellRyan1,*Harrell Ryan*
tgpekarek,Tim
IIV_UK,InvestorsInVeterans
southernlady111,Eden
MichelleMascia3,n/a
tmj_ia_vets,IA Veteran Jobs
TomPrigg2018,Tom Prigg 4 Congress
Scott_C_Young,n/a
Arl926,Angie Wood
tmj_hou_vets,Hou Veteran Jobs
JennieHolland61,JesusTheOnlySaviour
Homimp1,NH.DAVE
Veteran4Trump,Veteran For Trump
JanAMVETS,Jan Brown
DarkEagle215,Swamp Watch (PatrioticallyCorrect)
DonsAudrey,MilitaryMom
OldManStoneZone,n/a
DavidRomeiPHD,Dr. David Romei
DianaBialkowski,Diana Bialkowski
MisteCaulder,My PRES is TRUMP
bbl58,Barbara Soliz
DorAnnCecil,Deplorable DOR
woodardjba,Joshua
ACatholicKnight,Deplorable KEVIN
fosterxcellence,FosteringExcellence
ckemp1542400,Crystal kemp
SonieNcmrs,SonieNCmrs
RoeMasterNYC,n/a
Sapper864,'Mack' McKie
Lenardhscott101,n/a
Sparks1Sharon,Sharon Sparks
ShowTheMEMO,ReleaseTheMEMO
jimmyjjohnson99,jimmyjjohnson
VETERANSCHARITY,The Veterans Charity
RgnPetkeeper,Petkeeper
AirForceWords,Air Force Words
ElizaLynnArroy1,Eliza Lynn
stonemanatl,Stoneman18
Digitally_Your,Kent Graham
tmj_AZ_vets,AZ Veteran Jobs
MakeupBySiana,Siana
rutavala1,Bobby Darrell Watt
Nhlearning_Jobs,NH Learning Group
gott_arun,Arun John Gott
graceisnotgiven,Grace is not Given
wmdtek,K
tmj_pa_vets,PA Veteran Jobs
DrMcKuKu,joseph cotton
TrumpChess,#TrumpPatriot
NeverHerorHim,n/a
Nophir,Dave C
toombstone,n/a
Yabadabado15,Yabadabado
AbnRngrJim,James P Spencer
hastings450f4,n/a
aligiarc,giarca
wendyblessed629,Deplorable Wendy
I_am_Niteangel,Angelmyst
ValorOf1776,Wilhelm Von Römer
HPB57,EX Dem from Ohio
DwightCooper16,kissmybot
FightFreeSpeech,Fight4FreedomOfSpeech
skyeleo,n/a
chargergreg1,Greg Covfefe
VF24Ordie,n/a
JewelsMAGA,n/a
dmzveteran,DMZ Veteran
intellivoice,Jeffro
theoldlabrat,Chris Murdock
Tristan1369,Jordan  Hines
MaryVi2020,Marivi2020
camanowa,n/a
nearmis,michelle
tmj_usa_vets,USA Veteran Jobs
supernurse962,Cindy Leonard
tapp_wade,Wade Tapp #MAGA
MIdifference2,n/a
SarahPa36858880,Sarah Parker
Ancientbob,Bob Foss
Rogueraidr,n/a
_ROB_111,n/a
flgal4trump,Mercyme
NuecesThankAVet,Thank A Veteran
mrbob4u,bob hanrahan
MaryMkd12,Mary D
minemantate,That Guy
multisarcasmic,Goldilox
Dee601,Dee
jon55021593,Jon5502 MAGA
CareForTroops,BrookfieldInstitute
CheriF53490591,n/a
CharityFielder,n/a
Warriors4Sierra,n/a
Brendag38323989,#TRUMPWINS4USA
myveteran,My Veteran
CharlesPRiley2,Pat Riley
cowboytay1,Tay (Cowboy/Lakers)
Revolutoin1800,REVOLUTION1800
TheMsDlr,Deplorable Diana
T_W_Haines,T.W. Haines
tmj_ny_vets,NY Veteran Jobs
murphygirl777,MurphyGirl
BryonnyM,n/a
ToddFitchette,Todd Fitchette
bmiles2000,Bryan Miles
Sappermackie,Christopher D Mackie
LexCalifornia,Alex Casey
unfit2serve,Article XXV Sec 4
jilladairmakeup,Jilladair
bob_simonson,Bob Simonson
KDScioscia,Karen D. Scioscia
_IamAnita_,n/a
RhondaStroud10,Rhonda Stroud
Goz_1911,n/a
jsweitz61,J Q
navyvet50,Diane
ShaulIlaria,Shaul David
Shanna1627,Shanna g
tessyto,n/a
Magade18,n/a
BadLarryJr,Lawrence Deis Jr.
some1elsesmom2,n/a
Tat2uRdWhteBlu,Ms Mick
Pamela_O_Plays,Amphitrite Plays
DuffiF,Duffi Lee Frazier
BFD1982USN,BFD USN
scottwwilson07,n/a
KRoadhog,Kevin "Roadhog" Trump
glolara,Gloco
lonestartxMary,Mary Schnaubelt
dalepalmersr,dale a palmer sr
LaneSadalup,Sharon Lane
GabbyInCa,n/a
Uncannie1,TheUncannie1
MichalDouglas9,Michal Douglas
SVcaVet,n/a
Sabrina92871,Sabrina hall
TurnKyBlue,Turn Ky Blue
navgirl63,n/a
robertleefrye,Robert Lee Frye
PHOEN1X_SQUARED,rxglenn
DandelionDollar,n/a
Mamasnothappy,Mama
eman1047,Errol E-Man Eaton
MADE__USA,n/a
tmj_il_vets,IL Veteran Jobs
hirschA8720,n/a
AirForce_Carl,Carl
mcrnc1,M.C.
CanoninD222,CanoninD222
proseccopam77,n/a
Trump45Michael,n/a
JoAnnEileen,TheGoodWife
BigThom61,Thomas
Trump_U_Up,Trumped U Up!
SKYRIDER4538,n/a
BlueSea1964,Bluestar
LolaJeep47,Dena Brown
BethanyJuno,n/a
McDoodle_Pj,n/a
flyover62,Randy
echoaxle,eric
CAPT_Mike26,CAPT_3
anbarber1980,Adam N Barber
freeotz57,Frank Addicks
concept268,Braddad
JAmy208,Juliet Amy
bo_1961,bob tyrrell
pammichelle1,n/a
wishbonerussian,n/a
kingright4u,JC
usa_rattlesnake,n/a
Dragonsnestling,Lisa A Merrick
tmj_AL_vets,AL Veteran Jobs
Davidabcdfg,n/a
AnneCLindsay,AnneMaga
gemmah1776,gab.ai/gemmah1776
vikramwkarve,Vikram Waman Karve
andyoaklee,n/a
MarcConners,n/a
imrayrod,RayRod
CatbirdCityPoet,CatbirdCityPoet
cjgrisham,CJ Grisham
